symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date,Forward Price/Sales
S&P 500 Airlines Mean,33.662,19.21,6.216,0.564,2.408,-109.154,0.89,1.006,418.668,79.89,2.288,0.73,2.798,13.842,0.56,41.8,1832400000,2.09,0.106,8.168,29495999999.8,13833999999.8,27496000000,0.892,54.33,2022-09-09 00:00:00,0.486
S&P 500 Airlines Mean,33.922,19.858,31.428,0.586,2.456,-111.664,0.89,1.006,418.668,79.89,2.288,0.73,2.798,14.628,0.56,41.8,1832400000,2.09,0.106,8.168,29495999999.8,14094000000,27754000000,0.908,53.858,2022-09-16 00:00:00,0.486
S&P 500 Airlines Mean,30.4,17.7,5.834,0.506,2.144,-99.434,0.89,1.006,418.668,79.89,2.288,0.73,2.798,16.188,0.56,41.8,1832400000,2.09,0.106,8.168,29495999999.8,12336000000,25998000000,0.838,50.254,2022-09-24 00:00:00,0.444
S&P 500 Airlines Mean,28.876,17.194,6.378,0.496,2.1,-95.884,0.89,1.006,418.668,79.89,2.288,0.73,2.798,17.56,0.56,41.8,1832400000,2.09,0.106,8.168,29495999999.8,12136000000,25798000000,0.826,49.996,2022-10-01 00:00:00,0.422
S&P 500 Airlines Mean,30.662,18.206,6.814,0.526,2.246,-99.578,0.89,1.006,418.668,79.89,2.288,0.73,2.798,16.086,0.56,41.8,1832400000,2.09,0.106,8.168,29495999999.8,12889999999.8,26554000000,0.856,51.794,2022-10-08 00:00:00,0.444
S&P 500 Airlines Mean,30.632,17.914,6.592,0.512,2.198,-102.188,0.89,1.006,418.668,79.89,2.288,0.73,2.798,16.168,0.56,41.8,1832400000,2.09,0.106,8.168,29495999999.8,12498000000,26158000000,0.818,52.59,2022-10-16 00:00:00,0.444
S&P 500 Airlines Mean,31.47,61.636,7.13,0.522,2.152,-106.598,0.89,0.814,317.438,79.89,-0.548,0.772,2.798,16.686,0.478,41.8,2168000000,2.054,-0.336,5.534,29848000000,13298000000,27092000000,0.804,-52.412,2022-10-22 00:00:00,0.45
S&P 500 Airlines Mean,33.922,80.44,7.828,0.532,2.19,5.266,0.89,0.972,338.112,79.89,-0.254,1.614,2.798,15.032,0.612,41.8,2676000000,4.23,0.016,7.51,32560000000,14292000000,28408000000,0.822,-48.206,2022-10-28 00:00:00,0.484
S&P 500 Airlines Mean,33.49,78.992,8.046,0.524,2.136,4.864,0.89,0.956,335.042,79.89,-0.606,1.756,2.798,14.436,0.62,41.8,2750000000,4.466,-0.198,7.37,32868000000,14048000000,28334000000,0.83,-47.994,2022-11-05 00:00:00,0.482
S&P 500 Airlines Mean,36.102,81.702,8.356,0.538,2.206,5.242,0.89,0.956,335.042,79.89,-0.606,1.772,2.798,15.32,0.62,41.8,2754000000,4.508,-0.198,7.37,32868000000,14574000000,28862000000,0.844,-48.988,2022-11-12 00:00:00,0.516
