symbol,Price,Price/Sales (ttm),Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Trailing P/E,Forward P/E,Date,Forward Price/Sales
SP500 ElecEquip Instr Comps Mean ,183.072857142857,4.06857142857143,9.49714285714286,20.8014285714286,1.89714285714286,2.70428571428571,115.477142857143,35.7914285714286,33.2814285714286,8.62428571428572,13.0557142857143,18.8057142857143,0.941428571428571,6.33,2067290000.0,17.9371428571429,14.4442857142857,36.0414285714286,10322857142.8571,31897142857.1429,34045714285.7143,4.02428571428571,17.7214285714286,0.0,0.0,2022-02-05,0.0
SP500 ElecEquip Instr Comps Mean ,173.074285714286,3.98714285714286,9.18714285714286,19.7842857142857,1.87285714285714,2.70428571428571,115.465714285714,36.9685714285714,33.2814285714286,8.62428571428572,11.9771428571429,19.3557142857143,0.961428571428572,6.21,2067290000.0,17.9357142857143,14.4442857142857,36.0414285714286,10322857142.8571,30364285714.2857,32665714285.7143,3.89428571428572,17.0685714285714,0.0,0.0,2022-01-28,0.0
SP500 ElecEquip Instr Comps Mean ,183.572857142857,4.56142857142857,10.23,20.9257142857143,1.87285714285714,2.70571428571429,119.202857142857,36.9685714285714,32.9457142857143,8.60428571428571,11.9771428571429,17.68,0.95,6.21,2048718571.42857,18.0814285714286,14.0857142857143,34.2514285714286,10148571428.5714,33704285714.2857,36002857142.8571,4.52142857142857,19.88,0.0,0.0,2022-01-22,0.0
SP500 ElecEquip Instr Comps Mean ,192.662857142857,3.71714285714286,9.85714285714286,22.0171428571429,1.87285714285714,2.70571428571429,119.202857142857,36.9685714285714,32.9457142857143,8.60428571428571,9.63857142857143,13.1442857142857,0.95,6.21,2048718571.42857,18.0814285714286,14.0857142857143,34.2514285714286,10148571428.5714,32977142857.1429,35485714285.7143,3.83428571428571,17.7071428571429,0.0,0.0,2022-01-15,0.0
SP500 ElecEquip Instr Comps Mean,200.897142857143,4.61714285714286,10.3214285714286,22.8271428571429,1.87285714285714,2.70571428571429,119.202857142857,36.9685714285714,32.9457142857143,8.60428571428571,9.63857142857143,17.5428571428571,0.95,6.21,2048718571.42857,18.0814285714286,14.0857142857143,34.2514285714286,10148571428.5714,34248571428.5714,36545714285.7143,4.57428571428571,20.11,0.0,0.0,2022-01-08 00:00:00,0.0
SP500 ElecEquip Instr Comps Mean,209.342857142857,3.71714285714286,9.85714285714286,23.4685714285714,1.87285714285714,2.70571428571429,119.202857142857,36.9685714285714,32.9457142857143,8.60428571428571,9.63857142857143,13.1442857142857,0.95,6.21,2048718571.42857,18.0814285714286,14.0857142857143,34.2514285714286,10148571428.5714,32977142857.1429,35485714285.7143,3.83428571428571,17.7071428571429,29.3357142857143,21.6642857142857,2022-01-01 00:00:00,0.0
SP500 ElecEquip Instr Comps Mean,203.492857142857,4.61714285714286,10.3214285714286,22.7985714285714,1.87285714285714,2.70571428571429,119.202857142857,36.9685714285714,32.9457142857143,8.60428571428571,9.63857142857143,17.5428571428571,0.95,6.21,2048718571.42857,18.0814285714286,14.0857142857143,34.2514285714286,10148571428.5714,34248571428.5714,36545714285.7143,4.57428571428571,20.11,34.2328571428571,25.5885714285714,2021-12-23 00:00:00,0.0
SP500 ElecEquip Instr Comps Mean ,203.478571428571,4.61714285714286,10.3214285714286,22.6428571428571,1.87285714285714,2.70571428571429,119.202857142857,36.9685714285714,32.9457142857143,8.57428571428572,9.63857142857143,17.5428571428571,0.95,6.21,2044432857.14286,18.01,14.0857142857143,34.2514285714286,10148571428.5714,34248571428.5714,36545714285.7143,4.57428571428571,20.11,34.2328571428571,25.5885714285714,2021-12-18,0.0
SP500 ElecEquip Instr Comps Mean ,205.925714285714,4.56,10.1857142857143,22.8742857142857,1.90571428571429,2.70571428571429,119.202857142857,37.0757142857143,32.9457142857143,8.57428571428572,11.1885714285714,17.6385714285714,0.957142857142857,6.19142857142857,2044432857.14286,18.01,14.0857142857143,34.2514285714286,10148571428.5714,33614285714.1429,35914285714.2857,4.51857142857143,19.8157142857143,33.8128571428571,25.2385714285714,2021-12-11,0.0
SP500 ElecEquip Instr Comps Mean ,204.001428571429,4.47285714285714,9.90142857142857,10.88,1.90571428571429,0.81,98.8742857142857,37.0757142857143,24.0885714285714,4.87142857142857,11.1885714285714,17.8571428571429,0.657142857142857,6.19142857142857,1438571428.57143,8.57857142857143,6.82142857142857,28.51,7770000000.0,33485714285.7143,35784285714.2857,4.45571428571429,19.5928571428571,33.1742857142857,24.7928571428571,2021-12-04,0.0
