symbol,Price,Trailing P/E,Forward P/E,Price/Sales (ttm),Forward Price/Sales,Price/Book (mrq),Price/CashFlow,Quick Ratio,Current Ratio,Total Debt to Equity (mrq),Total Debt to Capital,Return on Equity,Return on Assets,Return on Invested Capital (ttm),Book Value/Market Value,Asset Turnover,Inventory Turnover (ttm),EBITDA,Operating Margin,Profit Margin,Gross Margin ttm,Revenue,Market Cap,Enterprise Value,Enterprise Value/Revenue,Enterprise Value/EBITDA,Date
S&P 500 Aerospace & Defense Mean,283.872727272727,23.8181818181818,20.8254545454546,2.52818181818182,2.31636363636364,3.31727272727273,11.9072727272727,1.04272727272727,0.984545454545455,37.7054545454545,57.6209090909091,11.7954545454545,3.64,4.51909090909091,26.8272727272727,0.402727272727273,12.6272727272727,2203636363.63636,9.70272727272727,5.31181818181818,14.4527272727273,12889090909,60000000000,72734545454.5455,3.05636363636364,38.4854545454546,2023-04-28 00:00:00
S&P 500 Aerospace & Defense Mean,292.553636363636,24.3418181818182,200.291818181818,2.58636363636364,2.39636363636364,3.37545454545455,21.6654545454546,1.04454545454545,1.56727272727273,51.5518181818182,57.86,10.9181818181818,4.37181818181818,4.44090909090909,26.3190909090909,0.546363636363636,12.6272727272727,3350000000,13.0836363636364,7.26454545454545,22.8018181818182,24277272727.0909,61199090909.0909,73739090909.0909,3.12818181818182,-15.7645454545455,2023-04-22 00:00:00
S&P 500 Aerospace & Defense Mean,293.760909090909,24.3009090909091,200.244545454545,2.58454545454545,2.40727272727273,3.39090909090909,23.3036363636364,1.04454545454545,1.68727272727273,67.8836363636364,57.86,16.0709090909091,5.19,4.44090909090909,26.3381818181818,0.661818181818182,12.6272727272727,4133636363.63636,14.1127272727273,8.05454545454545,23.9581818181818,30275454545.2727,60884545454.5455,73400000000,3.12363636363636,-15.8045454545454,2023-04-14 00:00:00
S&P 500 Aerospace & Defense Mean,288.187272727273,19.0763636363636,17.4381818181818,2.13272727272727,2.34636363636364,2.76,22.8227272727273,1.04454545454545,1.68727272727273,67.8836363636364,57.86,16.0709090909091,5.19,4.44090909090909,19.54,0.661818181818182,12.6272727272727,4133636363.63636,14.1127272727273,8.05454545454545,23.9581818181818,30275454545.2727,54390909090.9091,66962727272.7273,2.63090909090909,3.60545454545455,2023-04-08 00:00:00
S&P 500 Aerospace & Defense Mean,286.933636363636,18.3963636363636,50.6018181818182,2.08727272727273,2.34454545454546,2.64454545454545,22.8009090909091,1.04454545454545,1.68727272727273,67.8836363636364,57.86,16.0709090909091,5.19,4.17636363636364,20.3954545454546,0.676363636363636,12.1990909090909,4133636363.63636,14.1127272727273,8.05454545454545,23.9581818181818,30275454545.2727,55850000000,67903636363.6364,2.59545454545454,-17.1327272727273,2023-04-01 00:00:00
S&P 500 Aerospace & Defense Mean,276.450909090909,23.1254545454545,53.8972727272727,2.44636363636364,2.25909090909091,3.23181818181818,21.9,1.04454545454545,1.68727272727273,67.8836363636364,57.86,16.0709090909091,5.19,4.44090909090909,27.3818181818182,0.661818181818182,12.6272727272727,4133636363.63636,14.1127272727273,8.05454545454545,23.9581818181818,30275454545.2727,58104545454.5455,70620909090.8182,2.99272727272727,-15.1,2023-03-24 00:00:00
S&P 500 Aerospace & Defense Mean,280.500909090909,17.7981818181818,50.9690909090909,2.18818181818182,2.28181818181818,2.72818181818182,22.2145454545455,1.04454545454545,1.68727272727273,67.8836363636364,57.5909090909091,16.0709090909091,5.19,4.49272727272727,19.6890909090909,0.661818181818182,12.6272727272727,4133636363.63636,14.1127272727273,8.05454545454545,23.9581818181818,30275454545.2727,56890909090.9091,68990000000,2.63181818181818,-18.0409090909091,2023-03-18 00:00:00
S&P 500 Aerospace & Defense Mean,285.914545454545,24.9272727272727,56.7654545454546,2.63909090909091,2.33181818181818,3.42636363636364,22.59,1.04454545454545,1.68727272727273,67.8836363636364,57.5909090909091,16.0709090909091,5.19,5.95545454545455,25.5609090909091,0.685454545454546,13.2290909090909,4133636363.63636,14.1127272727273,8.05454545454545,23.9581818181818,30275454545.2727,61408181818.1818,73922727272.7273,3.18181818181818,-15.6690909090909,2023-03-11 00:00:00
S&P 500 Aerospace & Defense Mean,293.193636363636,24.5218181818182,54.9445454545455,2.58363636363636,2.40181818181818,3.38545454545455,23.2672727272727,1.03909090909091,1.68727272727273,67.8836363636364,57.4690909090909,16.0709090909091,5.19,5.96909090909091,25.7072727272727,0.685454545454546,13.2290909090909,4133636363.63636,14.1127272727273,8.05454545454545,23.9581818181818,30275454545.2727,60085454545.4545,72600000000,3.12636363636364,-14.7009090909091,2023-03-04 00:00:00
S&P 500 Aerospace & Defense Mean,292.078181818182,24.4690909090909,56.6145454545455,2.60181818181818,2.37909090909091,3.42363636363636,19.3336363636364,1.03909090909091,1.70818181818182,67.66,57.4690909090909,16.0718181818182,5.19,5.96909090909091,25.4163636363636,0.685454545454546,13.2290909090909,4133636363.63636,14.1127272727273,8.05454545454545,23.9581818181818,30275454545.2727,61078181818.1818,73624545454.4545,3.14454545454545,-14.9181818181818,2023-02-25 00:00:00
